Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96565580-8;CIA DE LEASING TATTERSALL S A;860562;27-04-2018;0;950627;180619;;;1131246;;;;;0;;;;0;;;
2;33;Del Giro;89854000-6;TURISMO TAITAO S.A.;20365;27-04-2018;0;699100;132829;;;831929;;;;;0;;;;0;;;
3;33;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;120;27-04-2018;0;4484000;851960;;;5335960;;;;;0;;;;0;;;
4;33;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;121;27-04-2018;0;230000;43700;;;273700;;;;;0;;;;0;;;
5;33;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;2429903;27-04-2018;9333;419;80;;;9832;;;;;0;;;;0;;;
6;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16384961;27-04-2018;0;132728;25218;;;157946;;;;;0;;;;0;;;
7;33;Del Giro;85633900-9;TRAVEL SECURITY SA;895189;30-04-2018;134068;10900;2071;;;147039;;;;;0;;;;0;;;
8;33;Del Giro;79588870-5;ESMAX DISTRIBUCION LIMITADA;966697;29-04-2018;0;87306;16588;;;118687;;;;;0;;;;0;28;14792;12.46
9;33;Del Giro;79588870-5;ESMAX DISTRIBUCION LIMITADA;966698;29-04-2018;0;14058;2671;;;19409;;;;;0;;;;0;28;2681;13.81
10;33;Del Giro;79588870-5;ESMAX DISTRIBUCION LIMITADA;966699;29-04-2018;0;34296;6516;;;63649;;;;;0;;;;0;35;22837;35.88
11;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16386938;30-04-2018;0;339214;64451;;;403665;;;;;0;;;;0;;;
12;33;Del Giro;76491253-5;INGENIERIA Y SERVICIOS GLOBALNET SPA;2086;01-05-2018;0;78775;14967;;;93742;;;;;0;;;;0;;;
13;33;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;1296340;27-04-2018;3278;486;92;;;3856;;;;;0;;;;0;;;
14;33;Del Giro;76425136-9;TRANSPORTES MAPS LIMITADA;1450;02-05-2018;0;2000000;380000;;;2380000;;;;;0;;;;0;;;
15;33;Del Giro;79588870-5;ESMAX DISTRIBUCION LIMITADA;967651;30-04-2018;0;6270;1191;;;8531;;;;;0;;;;0;28;1070;12.54
16;33;Del Giro;79588870-5;ESMAX DISTRIBUCION LIMITADA;967652;30-04-2018;0;9278;1763;;;12704;;;;;0;;;;0;28;1663;13.09
17;33;Del Giro;76425136-9;TRANSPORTES MAPS LIMITADA;1456;03-05-2018;0;1800000;342000;;;2142000;;;;;0;;;;0;;;
18;33;Del Giro;76425136-9;TRANSPORTES MAPS LIMITADA;1457;03-05-2018;0;1700000;323000;;;2023000;;;;;0;;;;0;;;
19;33;Del Giro;96919400-7;EAGLE COPTERS SOUTH AMERICA S.A.;2646;20-04-2018;0;11888400;2258796;;;14147196;;;;;0;;;;0;;;
20;33;Del Giro;96697410-9;ENTEL TELEFONIA LOCAL S.A.;7407395;01-05-2018;0;32475;6170;;;38645;;;;;0;;;;0;;;
21;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1914;16-04-2018;0;14812683;2814410;;;17627093;;;;;0;;;;0;;;
22;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1915;16-04-2018;0;3003048;570579;;;3573627;;;;;0;;;;0;;;
23;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1937;30-04-2018;0;897542;170533;;;1068075;;;;;0;;;;0;;;
24;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1942;30-04-2018;0;392700;74613;;;467313;;;;;0;;;;0;;;
25;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1943;30-04-2018;0;9673914;1838044;;;11511958;;;;;0;;;;0;;;
26;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1944;30-04-2018;0;452041;85888;;;537929;;;;;0;;;;0;;;
27;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1945;30-04-2018;0;7111651;1351214;;;8462865;;;;;0;;;;0;;;
28;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1946;30-04-2018;0;293576;55779;;;349355;;;;;0;;;;0;;;
29;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1947;30-04-2018;0;4476537;850542;;;5327079;;;;;0;;;;0;;;
30;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1948;30-04-2018;0;60796270;11551291;;;72347561;;;;;0;;;;0;;;
31;33;Del Giro;96919400-7;EAGLE COPTERS SOUTH AMERICA S.A.;2656;02-05-2018;0;34269868;6511275;;;40781143;;;;;0;;;;0;;;
32;33;Del Giro;96919400-7;EAGLE COPTERS SOUTH AMERICA S.A.;2658;02-05-2018;0;13136070;2495853;;;15631923;;;;;0;;;;0;;;
33;33;Del Giro;77574330-1;SERVICIOS Y TECNOLOGIA LIMITADA;618636;06-05-2018;0;7294;1386;;;8680;;;;;0;;;;0;;;
34;33;Del Giro;89854000-6;TURISMO TAITAO S.A.;21221;07-05-2018;0;145800;27702;;;173502;;;;;0;;;;0;;;
35;33;Del Giro;96556940-5;PROVEEDORES INTEGRALES PRISA S A;10138953;08-05-2018;0;22370;4250;;;26620;;;;;0;;;;0;;;
36;33;Del Giro;96711590-8;Manantial S.A.;3426651;30-04-2018;0;20000;3800;;;23800;;;;;0;;;;0;;;
37;33;Del Giro;96711590-8;Manantial S.A.;3426652;30-04-2018;0;20000;3800;;;23800;;;;;0;;;;0;;;
38;33;Del Giro;96711590-8;MANANTIAL S.A.;3021327;30-04-2018;0;15560;2956;;;18516;;;;;0;;;;0;;;
39;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16439973;07-05-2018;0;31761;6035;;;37796;;;;;0;;;;0;;;
40;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16439974;07-05-2018;0;404;77;;;481;;;;;0;;;;0;;;
41;33;Del Giro;96711590-8;Manantial S.A.;3428582;30-04-2018;0;20000;3800;;;23800;;;;;0;;;;0;;;
42;33;Del Giro;96711590-8;MANANTIAL S.A.;3028693;30-04-2018;0;9880;1877;;;11757;;;;;0;;;;0;;;
43;33;Del Giro;96711590-8;MANANTIAL S.A.;3028953;30-04-2018;0;9880;1877;;;11757;;;;;0;;;;0;;;
44;33;Del Giro;96919400-7;EAGLE COPTERS SOUTH AMERICA S.A.;2665;07-05-2018;0;30483922;5791945;;;36275867;;;;;0;;;;0;;;
45;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16478334;08-05-2018;0;7632;1450;;;9082;;;;;0;;;;0;;;
46;33;Del Giro;96565580-8;CIA DE LEASING TATTERSALL S A;862858;11-05-2018;0;785778;149298;;;935076;;;;;0;;;;0;;;
47;33;Del Giro;96565580-8;CIA DE LEASING TATTERSALL S A;862876;11-05-2018;0;1306211;248180;;;1554391;;;;;0;;;;0;;;
48;33;Del Giro;76491253-5;INGENIERIA Y SERVICIOS GLOBALNET SPA;2127;07-05-2018;0;244958;46542;;;291500;;;;;0;;;;0;;;
49;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16493243;14-05-2018;0;1361;259;;;1620;;;;;0;;;;0;;;
50;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16493244;14-05-2018;0;74220;14102;;;88322;;;;;0;;;;0;;;
51;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16493245;14-05-2018;0;2563;487;;;3050;;;;;0;;;;0;;;
52;33;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;26128;15-05-2018;0;135030;25656;;;160686;;;;;0;;;;0;;;
53;33;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;26144;16-05-2018;0;135030;25656;;;160686;;;;;0;;;;0;;;
54;33;Del Giro;11775974-1;RICHARDS ALBERTO JARA RODRIGUEZ;145;16-05-2018;0;220000;41800;;;261800;;;;;0;;;;0;;;
55;33;Del Giro;96565580-8;CIA DE LEASING TATTERSALL S A;863434;16-05-2018;0;1092801;207632;;;1300433;;;;;0;;;;0;;;
56;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16461032;07-05-2018;0;7416;1409;;;8825;;;;;0;;;;0;;;
57;33;Del Giro;96806980-2;Entel PCS Telecomunicaciones S.A.;36279617;11-05-2018;0;559288;106265;;;665553;;;;;0;;;;0;;;
58;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16508555;16-05-2018;0;1361;259;;;1620;;;;;0;;;;0;;;
59;33;Del Giro;96565580-8;CIA DE LEASING TATTERSALL S A;863595;17-05-2018;0;459233;87254;;;546487;;;;;0;;;;0;;;
60;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16519136;17-05-2018;0;75707;14384;;;90091;;;;;0;;;;0;;;
61;33;Del Giro;86966100-7;DHL EXPRESS (CHILE) LIMITADA;1147672;18-05-2018;0;8346;1586;;;9932;;;;;0;;;;0;;;
62;33;Del Giro;85633900-9;TRAVEL SECURITY SA;904026;22-05-2018;335419;22050;4190;;;361659;;;;;0;;;;0;;;
63;33;Del Giro;85633900-9;TRAVEL SECURITY SA;904027;22-05-2018;210156;21800;4142;;;236098;;;;;0;;;;0;;;
